Time,European Union - 27 countries (from 2020),Belgium,Bulgaria,Czechia,Denmark,Germany,Estonia,Ireland,Greece,Spain,France,Croatia,Italy,Cyprus,Latvia,Lithuania,Luxembourg,Hungary,Malta,Netherlands,Austria,Poland,Portugal,Romania,Slovenia,Slovakia,Finland,Sweden
2019-08,-6.4,-11.4,-25.7,-0.3,5.6,-4,4,-6.3,-7.2,-6.2,-7.6,-5.5,-13.7,-7,-4.1,6.2,-0.8,-2.4,6.3,-7.2,-2.1,4.7,-7.8,-9.7,-10,-8.9,-4.8,-3.1
2019-09,-5.9,-13.3,-22.5,0.3,3.7,-2.5,-1.7,-6.7,-6.5,-7.3,-6.2,-3.4,-13.3,-3.5,-2.3,4.3,-3.4,0.5,3,-7.7,-3.6,5.9,-7.3,-9.4,-11.2,-9,-4.9,-4.4
2019-10,-6.4,-11.2,-21.2,0.1,3,-4.7,-1.6,-8.1,-3.1,-10.2,-6.6,-3.3,-12.6,-7.6,-4.3,2.4,-4.8,-4.2,2.8,-5.1,-3.2,1.8,-6.7,-8.8,-11.4,-8.9,-6.5,-3.2
2019-11,-5.8,-11,-22.3,0.8,3.9,-1.9,-0.4,-2.3,-5.6,-10.6,-5.7,-2.2,-14.5,-5.3,-5.1,4.3,-1.9,-4.4,6.8,-6,-3.7,2.3,-7,-8.6,-13,-9.4,-5,-3.8
2019-12,-6.6,-11.3,-21.7,2.8,4.4,-3.7,0.2,-4.8,-3.9,-11.7,-9.6,-2.5,-12.2,-6.8,-2.7,2.1,-2.3,-1.6,6.9,-6.9,-2.7,1.5,-8.5,-6.4,-14.1,-10.3,-4.3,-2.8
2020-01,-6.4,-10.3,-21.6,1.3,3.9,-3,0.1,-2.1,-11.9,-11.8,-8.6,-0.1,-11,-5.5,-7.3,2.5,-3.2,-5.7,8.4,-8.2,-1.3,2,-9.3,-8.5,-11.9,-11,-4,-3.4
2020-02,-5.6,-8,-21,-1.1,5,-2.3,-0.9,0.9,-7.8,-9.5,-7.4,-0.4,-12.2,-4.5,-3.7,4.2,-2.8,-6.2,9.2,-5.6,-1.5,-0.7,-8.8,-9.2,-14.2,-8.6,-4.7,-2.2
2020-03,-11.1,-12.4,-24.5,-2.5,0.2,-8.2,-2.1,-3.3,-23.5,-12.9,-12.5,-9.5,-21.9,-26.3,-8.7,-0.6,-8.8,-7,-1.4,-8.3,-7.8,1,-13.8,-11.9,-16.3,-8.6,-7,-4.5
2020-04,-25,-21.5,-37,-19.4,-7.3,-18.1,-18.1,-28.6,-42.3,-32.5,-21.8,-31.9,:,-36.8,-29.1,-16.4,-24.4,-38,-23,-25.1,-20.8,-27.7,-40.8,-30,-39,-35,-13.5,-7.1
2020-05,-21.3,-14.8,-29.7,-9.8,-2,-15.5,-11.4,-23.1,-40.1,-30.8,-17.8,-25.9,-22.5,-29.6,-20.7,-10.8,-16.6,-30.7,-13.9,-21,-14.9,-23.2,-31.8,:,-35.5,-29.3,-8.4,-7.3
2020-06,-15.5,-11.1,-30.3,-8.5,2.9,-10.1,-22.2,-17.1,-32.5,-24.4,-12.4,-18.6,-14.5,-23.4,-15.7,-5.3,-9.7,-27.9,-5.2,-15.5,-9.3,-15.2,-25.8,:,-30.2,-25.8,-3.9,-3
2020-07,-15.1,-12.9,-32.6,-8,2.5,-9.8,-15.7,-14.3,-36.1,-24.3,-11.8,-18.5,-16.1,-21.6,-15.9,-4.1,-11.9,-23,-1.2,-13.6,-10.8,-8.8,-26.5,:,-27.9,-23.9,-2.2,-1.7
2020-08,-14.9,-16.1,-29.9,-10.6,0.1,-7.7,-13.1,-15.7,-34.4,-27.1,-12.2,-15.4,-15.2,-31.8,-11.7,-2.7,-16.2,-19.7,-14.4,-14.2,-10.3,-11.1,-24.8,:,-23.1,-20.4,-4.9,-0.5
2020-09,-13.7,-10.5,-27.2,-8,1,-7.2,-12.3,-14.9,-40.5,-25.5,-11,-17.6,-12.6,-27.4,-14.7,0.1,-10.8,-19.1,-9.3,-12.9,-6.2,-14.5,-26.4,:,-24.9,-20.5,-6,1.6
2020-10,-15.2,-10.1,-28.3,-16.6,1.7,-9.2,-10.6,-14.9,-38.9,-25.4,-13.4,-16.8,-15.9,-26.5,-12.4,1.7,-9.8,-22.3,-8.8,-14.8,-12.1,-14.6,-24.4,:,-27.1,-23.4,-7.3,1.6
2020-11,-17.4,-9.5,-31.1,-18.6,-0.4,-10.8,-22.1,-6.2,-44.5,-26.4,-17.9,-15,-19.3,-33.3,-17.9,-3.1,-13.4,-20.9,-7.8,-9.8,-15.6,-18.7,-28.9,:,-30.6,-23.1,-4.8,-1
2020-12,-13,-4.4,-32.7,-9.8,3.5,-9.7,-17.3,-1.9,-37.3,-19.7,-10.9,-18.2,-13.9,-31.6,-21.9,-2,-10.5,-22,0.5,-5.9,-10.1,-15.5,-24.6,:,-27.9,-21.5,-4.4,1.6
2021-01,-14.5,-5,-31.3,-12.3,3.3,-13,-16.2,-9.9,-38.9,-21.1,-13.4,-16,-13.5,-32.3,-18.4,-1.3,-7.1,-22,-0.2,-6,-10.2,-15.1,-23.5,:,-28.2,-26.1,-0.9,2.9
2021-02,-13.6,-5.1,-29.7,-14.2,3.7,-10.6,-15.4,-2.1,-43.4,-23,-14.1,-13.9,-11.9,-27.7,-16.4,-1.5,-8.9,-22.8,-2.6,-7.1,-8.6,-10.7,-25.1,:,-22.1,-25.8,-0.7,5.4
2021-03,-10.8,-3.1,-23.3,-15.7,4,-7.3,-15.6,-0.1,-39.9,-14,-9.7,-12.8,-12.3,-22.8,-17.4,-0.5,-6.4,-19.8,-7.9,-2.9,-4.6,-9.8,-19.8,:,-22,-26.3,-3,4.2
2021-04,-10.9,-3.8,-20.1,-9.5,6.9,-9.5,-18.9,2.8,-38.4,-13.1,-9.8,-13.9,-10.4,-19.2,-8.1,0.3,-3.2,-22.2,0.3,-0.9,-10.4,-11,-17.1,:,-24.4,-19.8,3.5,5.8
2021-05,-6.5,0,-22.5,-5.2,6.9,-4.4,-15.3,6.2,-21.9,-10.9,-5.4,-8.1,-5.6,-16.1,-8.8,-1.6,-1.2,-18.9,7.8,0.9,-1,-3.8,-13.5,:,-19.8,-18.1,3.5,9.2
2021-06,-3.5,2.5,-19.1,-3,7.1,0.4,-9.7,3.2,-24.7,-9.6,-0.2,-9.6,-2.5,-10.1,-3,1.9,2.7,-10.2,8.7,6.5,-1.6,-3.6,-13,:,-19,-16.2,4.8,7.8
2021-07,-5,1.5,-16.6,-6.9,6.7,-1.3,-7.8,1.2,-31.4,-8.8,-3.2,-10,-2.2,-23.3,-15.7,3.5,-3.5,-12.7,6.6,-0.1,-0.5,-4.6,-16,:,-18.7,-16.2,4.3,7.4
2021-08,-6.3,-2.7,-19.3,-5,6.7,-3.2,-9,4.8,-32,-8.1,-6.5,-10.2,-4.7,-20.6,-12.6,0.1,-1.2,-15.8,7.5,-2,-0.6,-4.6,-12.2,:,-20.7,-15.8,3.9,6.8
2021-09,-4.8,-1.1,-20.7,-5,10.3,0.1,0.8,4.1,-37.5,-8.8,-2.9,-11.6,-3.9,-15.8,-17.9,1.3,-2.5,-16.9,6.3,-0.3,-3.2,-4,-10.8,:,-21.5,-18.1,5.6,6.4
2021-10,-6.2,-5.6,-24.9,-8.8,6.3,-1.7,-9.1,0.2,-39.8,-7.6,-6.2,-14.3,-3.2,-19.2,-5.5,-1.5,-3.6,-11.6,9.2,-6.4,-3,-5.9,-11.3,:,-23.7,-19.6,2.4,4.9
2021-11,-9.3,-7.9,-25.1,-20.5,1.2,-4.6,-12.5,-0.7,-38.5,-15,-6.8,-16,-5.9,-19.8,-14.1,-0.9,-7.1,-19.3,4.9,-13.1,-5.9,-9.2,-19.4,:,-25.6,-21,0.6,2.5
2021-12,-10.2,-9.4,-20.8,-16.3,1.2,-7.1,-11,-5.9,-38.2,-14.3,-8.6,-12.1,-5.7,-21.6,-7.8,-1.9,-7.7,-13.4,0.3,-11.7,-9,-10.4,-19.4,:,-24.3,-24,-2.7,2.3
2022-01,-10.9,-10,-19,-16.4,0.8,-5.2,-14.6,-4.2,-40.5,-13.5,-9.2,-14.2,-10,-18.6,-16.8,-5.5,-8.2,-12.4,-1.1,-11.4,-7.6,-13.3,-17.8,:,-24.7,-21.2,-1.6,-2.2
2022-02,-10.7,-10,-20.5,-14.9,0.8,-6.2,-15.8,-10.4,-38.9,-11.1,-8.3,-22,-10.8,-19.6,-14,-4.6,-7.6,-10.1,0.5,-15.2,-7.4,-11.4,-14.8,:,-23.1,-21.8,-0.3,-1.7
2022-03,-22.5,-21.9,-29.5,-28.4,-11.3,-15.3,-17,-22.3,-51.4,-29.5,-21.1,-22.7,-24.6,-33,-25.5,-9,-23.8,-22.9,-2.7,-23.2,-22.6,-12.1,-33.9,:,-32.4,-28.8,-10.3,-11.3
2022-04,-23.1,-19,-29.3,-27.6,-14.8,-18.9,-19.3,-23.8,-55.3,-27.6,-19.3,-21.9,-22.6,-33,-21.9,-8.8,-22,-25.2,1.9,-26.9,-21.5,-14.3,-32.6,:,-27.6,-28,-12.1,-10.2
2022-05,-22.6,-19.2,-32.5,-28.8,-15.6,-18.3,-27.1,-22.1,-51.3,-23.8,-19,-25.1,-22.4,-35.4,-28,-8.4,-20.5,-29.5,-0.6,-22.8,-24.7,-16.3,-30.5,:,-31.9,-27.4,-11.9,-13.5
2022-06,-24.9,-18.9,-30.1,-29.8,-17.4,-19.9,-32.5,-27.9,-52.5,-29.5,-21.3,-27.5,-24.1,-35.2,-39.6,-11.1,-23,-35.8,-7.1,-28.1,-25.3,-13.1,-32.6,:,-33.5,-28.1,-13.8,-15.1
2022-07,-28,-20.3,-27.1,-32.5,-18,-25.2,-33.7,-32.6,-55.3,-35.5,-21.9,-29,-27.8,-35.4,-23.7,-12.1,-22.7,-38.8,-10.9,-26.6,-33.5,-15.8,-30.9,:,-37.8,-29.2,-15.2,-20.5
2022-08,-26.2,-19.4,-28.4,-28.1,-14.7,-24.1,-35.3,-26.8,-54.2,-31.5,-18.8,-28.3,-24.7,-36,-29,-10.8,-25.9,-45.9,-11.3,-28.9,-31,-19.5,-31.6,:,-37,-29.8,-14.9,-20.3
2022-09,-29.8,-28,-30.7,-30.5,-20,-29.4,-42.6,-32.2,-51.2,-31.8,-22.4,-26.9,-26.4,-27.5,-31.2,-14.9,-29.9,-46.7,-9.7,-35.8,-31.5,-20.2,-35.7,:,-38.7,-31.4,-18.7,-26.4
2022-10,-28.7,-26.5,-28.1,-31.6,-23.5,-28.3,-36.2,-26.3,-57.9,-30.9,-20.8,-25.7,-26.4,-32.6,-27.7,-13.4,-27.6,-49.1,-17.9,-32.4,-30.2,-20.1,-37.7,:,-37.2,-33.1,-17.4,-27.5
2022-11,-25.1,-21.9,-27.2,-29.7,-17.8,-25.1,-34.6,-27.7,-51.9,-27.8,-18.7,-24.3,-18.1,-30.2,-31.9,-8.3,-23.5,-47.3,-17.5,-29.2,-29.1,-19.4,-37.7,:,-36.6,-31,-16.6,-23.3
2022-12,-23.5,-18.3,-25.8,-28.3,-16.3,-22,-35.8,-21.8,-47.9,-25,-20.7,-21.6,-16.6,-28,-32.9,-7.3,-20.9,-45.5,-11.8,-24.7,-29.3,-17.3,-36.6,:,-31.7,-32.2,-17.6,-24.1
2023-01,-22,-16,-29.5,-21.4,-13.3,-19.2,-32.7,-21.9,-41.4,-22.5,-20.3,-22,-18,-21.2,-32.4,-5.4,-15.6,-44.6,-10.2,-24,-24.6,-13.4,-35.2,:,-35.5,-30.8,-12.5,-23.3
2023-02,-20.6,-13.2,-26.9,-17.4,-12.5,-15.8,-26.8,:,-47.4,-21.6,-21.2,-18.8,-16.5,-18.5,-26.5,-3.7,-16.6,-41,-6.8,-18.7,-24,-17.5,-32.5,:,-34.9,-30.2,-11.9,-20.4
2023-03,-20.6,-14.2,-25.4,-21.7,-11.5,-17.1,-27.4,:,-41.1,-24.1,-20.6,-22.1,-14.7,-18,-23.1,-2,-13.7,-35.2,-10.9,-17.4,-23.9,-17.1,-31.8,:,-32.8,-27.2,-11.3,-21.1
2023-04,-18.9,-12.4,-22.7,-19.6,-8.8,-13.2,-27.5,:,-44.6,-20.3,-19,-19,-15.1,-25.3,-23.9,-0.7,-18.8,-34.4,-6.9,-17.1,-24.1,-13.2,-29.6,:,-31.5,-24.8,-8.3,-17.9
2023-05,-18.3,-14.7,-22.4,-19.6,-6.6,-13,-30.7,:,-34.5,-20.7,-17.2,-16.5,-16.6,-25.8,-18.1,-1.2,-15.3,-38.6,-9.9,-19.8,-24.6,-5.3,-27.2,:,-30.6,-24.9,-9.1,-15.2
2023-06,-17.2,-13.8,-22.7,-20.4,-4.8,-13.7,-28.3,:,-31,-16.4,-14.8,-15.2,-15.4,-19.9,-22,-3.2,-12.4,-34.1,-10.4,-19.2,-22.5,-6.7,-23.9,:,-33.9,-21.2,-8.8,-14
2023-07,-16.1,-11.3,-19.2,-15.9,-5.2,-13.5,-29.4,:,-28.6,-11.9,-14.2,-17.4,-16.3,-21.9,-15.5,-1,-17.8,-35.3,-11.8,-18.8,-21.3,-3.4,-21.6,:,-32.1,-19.7,-8.9,-15.1
2023-08,-17.1,-11.6,-20.4,-15.9,-5.4,-15.2,-29.4,:,-35.4,-15.1,-14.9,-18.7,-16.1,-24.2,-17.8,-1.7,-13.7,-31.2,-12.8,-16.9,-22.5,-4.5,-22.3,:,-32.9,-19.8,-8.1,-17.6
2023-09,-18.7,-12.2,-22.2,-19.3,-7.2,-15.8,-29.7,:,-45,-20.2,-15.9,-17.1,-17.1,-27.8,-11.7,1.3,-16.5,-34.4,-9.9,-17.7,-24.9,-4.7,-26.1,:,-32.6,-19.2,-11.8,-18.3
