id,price,speed,hd,ram,screen,cores,cd,laptop,trend
54,1976,24,8,14,19,10,1,0,2
55,2677,24,24,6,21,14,0,0,2
56,3354,36,1,20,17,28,0,0,4
57,1040,23,8,6,12,8,1,0,1
58,2950,22,16,2,15,20,0,0,5
59,3105,32,3,32,21,28,0,0,4
60,1350,17,24,14,23,8,0,0,1
61,2063,18,16,2,17,26,0,0,4
62,2178,17,16,14,23,18,0,0,5
63,4333,33,3,16,17,22,0,0,4
64,3360,37,1,36,15,22,1,0,5
65,4140,39,7,40,15,30,1,0,5
66,2823,18,20,6,19,24,0,0,4
67,3516,33,7,40,17,26,1,0,5
68,2874,15,12,10,17,14,0,0,1
69,538,18,8,6,11,10,0,1,2
70,1898,22,8,14,15,4,0,0,1
71,3461,32,1,24,23,22,0,0,4
72,2101,24,20,6,23,28,0,0,5
73,3368,33,7,28,15,24,1,0,5
74,784,19,24,6,13,8,1,0,1
75,886,19,8,6,12,10,0,1,2
76,1667,20,20,14,15,10,0,0,2
77,1363,20,12,6,23,6,0,0,2
78,548,19,8,2,13,10,1,0,2
79,4312,36,1,44,21,12,1,0,1
80,4028,39,7,56,23,22,1,0,5
81,1376,24,20,6,21,10,1,0,1
82,1021,16,16,14,13,6,0,1,1
83,3753,37,7,60,19,28,0,0,4
84,2810,19,8,14,17,14,0,0,2
85,3862,30,3,28,17,28,0,0,5
86,3676,31,7,24,17,12,1,0,2
87,1418,19,20,6,23,4,0,0,1
88,563,24,24,10,11,4,0,1,1
89,512,23,16,2,12,4,1,0,2
90,1959,19,16,14,23,6,0,0,2
91,2360,22,24,2,15,30,1,0,5
92,1083,21,12,10,11,6,0,1,1
93,2493,15,20,10,21,14,0,0,2
94,2806,22,12,10,17,14,0,0,1
95,3781,35,5,32,17,16,0,0,2
96,1937,21,8,6,21,8,0,0,2
97,2992,23,24,6,19,20,1,0,4
98,1546,15,28,10,17,8,0,0,2
99,2580,16,8,6,21,28,1,0,5
100,3042,30,1,36,19,30,0,0,5
101,933,19,8,2,13,6,0,1,1
102,3874,33,3,28,21,30,0,0,4
103,1536,23,8,14,17,4,1,0,2
104,3356,31,7,24,17,22,1,0,4
105,760,22,28,6,11,6,1,0,2
106,809,24,8,6,11,10,0,1,2
107,3500,32,1,16,19,30,1,0,4
108,3359,31,1,24,21,16,0,0,2
109,1616,15,24,6,21,4,1,0,1
110,3791,38,1,36,15,20,0,0,4
111,1785,18,16,14,23,6,0,0,2
112,2022,18,12,2,17,30,0,0,4
113,3131,37,7,40,15,16,0,0,2
114,4170,34,1,16,15,22,0,0,5
115,3091,30,7,52,15,18,0,0,5
116,1364,19,16,14,21,8,1,0,2
117,1211,19,24,6,23,8,0,0,2
118,734,21,16,2,11,4,0,1,2
119,3398,36,5,16,23,12,0,0,2
120,3787,39,1,60,15,28,0,0,5
121,3727,32,5,52,21,16,0,0,1
122,1608,23,16,2,19,8,1,0,2
123,2538,18,28,14,23,30,0,0,5
124,3216,31,7,60,23,30,1,0,5
125,1174,18,20,6,11,10,0,1,1
126,2702,22,20,10,19,18,0,0,4
127,2482,19,20,14,21,22,0,0,5
128,2050,17,8,6,23,28,0,0,4
129,1851,16,12,14,19,8,0,0,1
130,1402,18,24,14,15,6,0,0,1
131,1316,16,20,2,15,4,1,0,2
132,3181,30,7,48,15,30,0,0,4
133,681,22,28,6,13,6,0,1,1
134,1671,16,20,2,15,8,0,0,2
135,3721,34,7,28,17,30,0,0,5
136,847,22,20,2,13,6,0,1,2
137,4132,32,1,44,21,16,1,0,1
138,3719,36,3,40,15,30,0,0,4
139,3533,33,1,44,19,12,0,0,2
140,2665,17,8,6,19,12,0,0,2
141,1540,20,8,14,19,6,1,0,1
142,4002,32,5,24,19,12,0,0,2
143,551,23,28,10,11,10,0,1,1
144,1824,16,16,14,23,4,1,0,1
145,3897,30,7,28,23,30,0,0,4
146,4164,32,3,60,21,24,1,0,5
147,4347,34,3,36,17,20,0,0,5
148,3461,36,1,60,21,16,0,0,2
149,3608,34,5,28,21,16,1,0,1
150,1680,19,28,2,15,8,1,0,2
151,1120,16,12,10,11,4,1,0,1
152,1981,19,12,14,17,4,0,0,1
153,1762,24,20,6,21,10,0,0,1
154,758,23,24,10,12,10,0,1,1
155,3176,32,3,40,15,24,1,0,5
156,3153,36,7,52,17,18,0,0,5
157,560,18,16,6,11,10,1,0,2
158,2735,20,24,6,15,26,0,0,4
159,3320,33,3,44,21,26,1,0,5
160,3320,37,5,28,17,12,1,0,1
161,1128,21,20,10,12,6,1,0,1
162,3101,34,5,40,19,28,0,0,4
163,3544,30,1,60,15,26,1,0,5
164,2729,18,12,2,15,20,0,0,4
165,2402,18,12,10,15,14,0,0,2
166,4340,30,7,44,15,28,1,0,5
167,2182,21,12,2,23,28,0,0,4
168,2977,21,16,10,21,28,0,0,4
169,4182,35,5,48,21,22,0,0,4
170,963,17,24,14,13,8,0,1,1
171,2201,24,16,14,21,30,0,0,4
172,3430,32,3,32,19,26,0,0,4
173,3217,34,7,56,19,24,0,0,4
174,3672,35,3,24,19,26,1,0,4
175,2730,22,12,6,17,14,0,0,2
176,2040,22,24,10,17,26,1,0,4
177,3217,36,3,52,21,16,0,0,1
178,2447,24,28,2,17,24,0,0,5
179,1218,20,20,14,15,10,0,0,1
180,822,23,28,10,12,6,0,1,1
181,4282,33,1,60,15,20,0,0,5
182,2967,19,24,10,15,26,0,0,4
183,4099,35,7,24,19,12,0,0,2
184,538,15,24,2,11,6,0,1,2
185,4042,36,1,56,19,14,0,0,1
186,565,24,12,2,12,4,0,1,2
187,1411,23,16,6,19,4,0,0,1
188,549,16,8,6,12,6,0,1,2
189,1450,15,24,2,17,6,0,0,1
190,1752,16,28,10,23,10,1,0,2
191,3508,35,7,56,21,14,1,0,1
192,3959,35,7,28,15,20,0,0,4
193,2208,19,12,6,21,30,1,0,5
194,2035,20,24,2,15,26,0,0,4
195,1870,22,12,6,17,4,0,0,1
196,2867,18,12,14,17,20,0,0,5
197,2051,20,28,6,19,28,0,0,5
198,2595,21,16,6,23,14,0,0,1
199,3173,39,1,52,21,26,0,0,4
200,1904,19,16,14,19,10,1,0,1
201,4150,31,5,20,17,20,0,0,5
202,2897,23,16,2,15,16,0,0,2
203,1716,21,8,10,15,8,1,0,2
204,4217,36,3,32,17,30,0,0,4
205,2167,20,8,14,19,28,0,0,5
206,1116,18,16,6,12,4,1,0,2
207,3649,35,5,16,21,14,0,0,1
208,3192,37,1,36,23,20,1,0,4
209,1438,22,20,6,17,4,0,0,1
210,2478,19,20,14,15,20,0,0,5
211,3782,37,5,48,19,30,0,0,5
212,557,19,16,10,11,10,0,1,1
213,2956,18,24,14,15,28,1,0,4
214,1283,23,8,10,23,6,0,0,2
215,1493,20,28,14,15,8,0,0,1
216,704,17,20,10,13,10,1,0,1
217,3148,32,5,44,21,22,1,0,4
218,1227,17,28,2,19,8,0,0,1
219,1840,16,20,14,17,4,1,0,1
220,1339,18,28,2,15,4,0,0,1
221,2616,17,24,10,21,30,1,0,5
222,1019,16,8,14,11,4,0,1,2
223,1043,19,16,6,12,10,0,1,2
224,4077,34,5,56,21,20,0,0,5
225,3822,30,7,24,15,18,0,0,4
226,3927,34,1,28,19,20,0,0,5
227,917,18,12,10,11,10,0,1,1
228,1651,24,24,2,15,10,0,0,1
229,2491,16,12,2,21,14,0,0,2
230,1007,22,8,10,12,4,0,1,1
231,1922,24,28,10,17,6,0,0,2
232,1791,22,20,6,21,6,0,0,2
233,2553,20,24,10,23,28,0,0,5
234,3629,38,3,60,19,14,0,0,1
235,3259,38,5,60,15,20,0,0,4
236,1871,19,20,2,19,8,0,0,2
237,3474,34,5,52,23,18,0,0,5
238,2298,16,28,6,17,14,0,0,2
239,3833,38,1,28,23,14,0,0,1
240,3705,31,5,56,15,16,0,0,2
241,1064,15,8,2,11,10,1,0,2
242,3285,38,3,52,21,26,0,0,4
243,1175,15,8,10,11,4,0,1,2
244,3939,32,1,48,15,12,0,0,1
245,4211,39,3,24,21,18,0,0,5
246,3616,34,3,52,19,12,1,0,1
247,3142,35,1,44,15,30,0,0,4
248,3848,30,1,28,21,24,1,0,4
249,4019,31,1,28,23,18,0,0,5
250,3318,31,7,52,15,12,0,0,2
251,1403,18,8,14,23,10,0,0,2
252,4063,39,1,44,17,12,0,0,2
253,4344,38,1,36,23,14,1,0,1
254,1836,23,16,14,21,4,1,0,2
255,729,17,24,6,12,10,0,1,2
256,3160,36,5,56,23,26,1,0,5
257,3975,38,1,40,21,20,0,0,5
258,3398,32,1,24,17,20,0,0,5
259,2649,16,20,14,17,24,0,0,5
260,2530,23,8,2,21,30,0,0,5
261,2421,22,8,10,19,26,0,0,4
262,3007,32,7,56,23,28,0,0,4
263,3990,39,3,44,17,12,0,0,2
264,3228,38,1,52,15,12,1,0,1
265,786,22,24,14,12,8,0,1,2
266,2589,15,20,10,23,14,0,0,2
267,2664,21,8,6,21,30,1,0,4
268,794,24,28,10,13,10,0,1,2
269,873,17,20,2,13,10,0,1,1
270,601,19,28,2,13,6,0,1,1
271,4173,30,3,60,23,28,0,0,4
272,1222,17,24,10,17,10,0,0,1
273,1167,16,24,14,12,4,0,1,1
274,1813,24,24,10,21,4,0,0,2
275,3124,35,7,48,21,26,1,0,4
276,1151,15,16,2,11,4,0,1,1
277,2911,18,8,2,15,30,0,0,4
278,1843,20,28,2,21,4,0,0,1
279,3377,34,3,24,19,26,0,0,5
280,1042,24,20,6,13,4,0,1,2
281,1205,21,16,14,19,10,0,0,1
282,4329,35,5,36,17,28,0,0,5
283,1304,17,20,14,23,6,1,0,1
284,3685,34,1,48,19,20,0,0,4
285,2947,20,24,10,23,14,0,0,1
286,1548,21,12,14,19,4,1,0,1
287,2162,15,28,10,19,18,0,0,5
288,3299,38,3,52,19,16,0,0,1
289,2307,22,8,10,19,24,0,0,5
290,807,23,20,6,12,10,0,1,1
291,4272,33,1,56,19,12,1,0,1
292,2669,16,12,14,17,30,0,0,4
293,647,21,12,10,13,10,0,1,1
294,1081,23,8,10,13,10,0,1,2
295,3710,37,3,24,17,30,0,0,4
296,510,23,20,14,12,4,0,1,2
297,2833,15,20,10,15,20,0,0,5
298,3044,30,3,16,17,20,1,0,4
299,1893,17,28,10,19,8,0,0,1
300,1512,17,16,14,23,6,1,0,1
301,2698,16,16,2,15,30,0,0,4
302,4349,33,7,56,17,14,0,0,1
303,984,22,8,14,13,8,1,0,2
304,4016,36,1,48,21,28,1,0,4
305,1300,23,28,6,21,4,1,0,2
306,3347,30,5,44,17,18,0,0,5
307,4263,30,3,36,17,12,0,0,2
308,1188,17,16,10,13,10,1,0,2
309,969,20,12,6,13,4,0,1,1
310,851,18,24,10,12,10,0,1,1
311,1629,16,24,10,15,8,0,0,2
312,2923,23,12,2,17,26,0,0,4
313,2549,20,28,6,23,14,0,0,2
314,3631,33,5,24,19,26,0,0,5
315,1211,22,12,2,15,8,0,0,2
316,1234,24,12,2,19,6,0,0,1
317,2459,21,16,14,21,30,0,0,4
318,3547,34,1,20,19,30,0,0,4
319,2687,17,16,6,15,12,0,0,1
320,2409,18,24,2,17,18,0,0,4
321,3888,35,5,20,15,28,1,0,5
322,4186,33,3,20,23,20,0,0,4
323,2372,15,20,2,15,24,1,0,5
324,1105,18,28,10,11,10,0,1,1
325,3629,34,1,60,15,12,0,0,1
326,3766,33,7,28,17,22,0,0,4
327,2616,21,12,14,23,24,1,0,5
328,1203,15,12,14,19,10,0,0,2
329,4173,39,1,36,15,28,0,0,4
330,2817,22,12,14,21,16,0,0,2
331,3986,31,3,60,23,22,0,0,4
332,3582,33,3,52,23,22,0,0,5
333,2643,16,28,2,19,20,0,0,4
334,2790,17,8,2,23,22,0,0,5
335,2124,22,16,2,17,14,1,0,1
336,1769,17,20,14,15,4,0,0,1
337,1185,23,8,10,12,8,0,1,2
338,716,24,20,10,13,8,1,0,1
339,932,19,12,6,11,8,1,0,1
340,3258,34,5,28,19,18,0,0,4
341,2174,16,12,2,23,12,0,0,2
342,1017,20,12,6,11,6,0,1,2
343,3412,35,1,56,19,14,1,0,2
344,2140,24,8,6,21,28,1,0,4
345,1082,17,16,6,13,4,0,1,2
346,4102,39,1,16,23,28,0,0,5
347,1656,15,28,2,19,8,1,0,1
348,1075,15,28,14,13,6,0,1,2
349,2991,21,16,2,19,28,0,0,4
350,1568,18,8,14,19,6,1,0,1
351,769,18,20,14,12,8,0,1,1
352,4343,32,7,16,23,30,0,0,4
353,2006,15,8,14,19,24,0,0,5
354,604,22,16,6,11,8,1,0,1
355,1824,19,8,6,19,8,1,0,2
356,2887,17,20,10,19,26,0,0,4
357,3188,35,5,40,23,22,1,0,4
358,1326,22,16,6,17,4,0,0,2
359,3351,35,7,20,23,22,0,0,4
360,1231,22,16,6,19,8,0,0,1
361,4111,38,3,60,23,22,0,0,5
362,3290,39,7,20,23,18,0,0,4
363,1342,19,28,6,19,4,0,0,1
364,939,17,16,6,13,6,0,1,2
365,2620,23,12,2,15,12,1,0,2
366,4346,35,3,40,21,30,0,0,4
367,3484,39,1,24,17,18,1,0,5
368,1894,21,20,14,15,4,0,0,2
369,3334,36,1,32,17,30,0,0,4
370,4016,39,7,24,15,24,1,0,4
371,1167,19,8,6,12,10,0,1,2
372,3909,39,7,48,23,30,0,0,4
373,3483,34,1,32,17,18,0,0,5
374,3094,32,3,20,19,26,0,0,5
375,3767,33,5,20,17,24,0,0,4
376,572,15,24,6,13,6,1,0,2
377,3326,33,7,60,21,12,0,0,2
378,3521,31,1,20,23,26,0,0,4
379,2745,16,12,10,23,22,0,0,4
380,874,24,28,2,13,10,0,1,1
381,2766,21,12,6,23,30,0,0,4
382,4107,30,3,48,21,22,0,0,4
383,4117,36,7,36,23,28,0,0,5
384,1956,20,12,14,17,6,1,0,1
385,1183,24,24,6,13,10,0,1,2
386,1570,18,12,6,19,8,0,0,2
387,2486,21,12,6,21,14,0,0,2
388,631,17,24,6,13,10,0,1,2
389,3954,36,5,48,23,30,0,0,5
390,3236,35,1,28,19,12,1,0,2
391,1900,17,8,6,19,10,1,0,1
392,4273,31,7,24,21,24,0,0,4
393,836,19,8,14,12,10,1,0,1
394,1968,19,24,14,21,8,1,0,1
395,3821,31,5,60,19,22,0,0,4
396,1477,22,20,2,19,8,0,0,2
397,3090,31,5,56,17,16,0,0,2
398,3485,30,7,28,19,18,0,0,4
399,2206,18,16,14,21,28,0,0,4
400,984,24,8,10,12,6,1,0,2
401,708,16,20,10,13,10,1,0,1
402,950,16,16,2,11,8,0,1,1
403,1578,16,28,14,21,6,0,0,2
404,3017,31,5,56,21,14,0,0,2
405,944,16,12,10,12,10,1,0,1
406,1448,15,16,2,17,8,1,0,1
407,1932,20,28,10,21,6,1,0,2
408,3719,39,3,36,17,14,0,0,1
409,1326,23,8,14,21,4,0,0,2
410,3135,37,1,28,15,28,0,0,4
411,4158,34,7,16,17,16,0,0,1
412,2688,17,20,10,21,24,1,0,4
413,2197,22,20,14,17,18,0,0,5
414,1647,22,16,6,21,8,0,0,1
415,809,16,12,14,13,10,0,1,1
416,4221,32,3,56,17,26,0,0,4
417,3205,32,3,40,21,28,0,0,4
418,1971,17,28,14,21,10,0,0,1
419,1415,22,8,2,19,10,0,0,2
420,1056,19,20,6,11,8,1,0,2
421,3397,33,5,48,19,18,0,0,4
422,3973,39,1,28,15,18,0,0,4
423,2789,22,24,6,21,18,0,0,5
424,4186,38,7,40,23,24,0,0,5
425,3562,39,1,16,17,24,0,0,5
426,3518,30,7,24,17,24,0,0,5
427,2586,20,20,6,15,12,0,0,1
428,3253,32,3,24,15,26,0,0,5
429,1095,19,20,10,12,6,0,1,1
430,2692,18,12,6,23,28,1,0,5
431,1938,20,12,10,23,8,0,0,1
432,1430,24,12,2,21,6,0,0,2
433,2026,24,8,6,21,14,0,0,2
434,868,18,28,14,11,10,1,0,2
435,1361,15,16,10,21,6,0,0,2
436,1809,23,20,2,15,6,0,0,1
437,1777,17,24,6,15,4,0,0,2
438,1709,24,8,6,17,4,0,0,2
439,939,18,24,6,13,8,0,1,2
440,3176,37,5,52,15,20,1,0,5
441,2372,21,12,6,21,24,1,0,5
442,1492,20,12,14,17,10,1,0,2
443,694,24,16,2,11,8,0,1,2
444,1613,23,8,14,21,4,0,0,2
445,2321,18,16,14,15,14,0,0,1
446,2505,19,8,10,19,20,0,0,4
447,3026,37,7,60,23,20,0,0,5
448,3627,39,7,40,15,16,0,0,1
449,1923,19,28,2,17,4,0,0,1
450,3379,32,1,56,23,26,0,0,4
451,1808,22,12,10,19,8,1,0,2
452,3770,36,1,40,15,22,0,0,4
453,2605,16,24,14,23,12,0,0,2
454,2133,18,8,14,19,16,0,0,2
455,2610,19,28,6,19,20,0,0,5
456,4236,31,7,28,23,12,1,0,2
457,3027,30,1,56,19,12,0,0,1
458,1733,23,28,10,15,6,0,0,1
459,2529,24,12,2,21,24,0,0,5
460,4001,38,3,52,15,26,0,0,4
461,2353,24,16,6,21,12,0,0,2
462,986,17,28,10,11,6,0,1,2
463,2244,21,28,6,21,18,1,0,5
464,4047,31,5,32,15,26,0,0,4
465,3666,31,1,56,15,26,0,0,4
466,1094,17,16,10,13,8,0,1,2
467,4328,33,7,40,23,14,1,0,2
468,1400,18,16,6,19,8,1,0,1
469,1650,19,28,10,21,4,0,0,1
470,4071,35,5,28,19,30,0,0,4
471,2081,23,12,6,15,16,0,0,1
472,1542,15,8,14,17,4,0,0,1
473,2201,16,12,6,15,18,0,0,4
474,2935,20,8,2,19,26,0,0,4
475,1759,17,12,6,17,8,0,0,2
476,2435,20,20,2,15,18,0,0,5
477,3000,30,7,28,17,24,1,0,5
478,1921,24,8,14,21,8,0,0,1
479,972,23,24,2,12,8,1,0,1
480,849,17,28,2,11,6,0,1,2
481,1610,22,28,2,19,10,0,0,2
482,955,21,16,6,12,10,0,1,1
483,2508,17,20,14,17,18,1,0,5
484,3669,35,3,40,15,20,0,0,5
485,3949,35,3,52,21,26,0,0,4
486,822,17,8,2,12,6,0,1,1
487,3326,39,1,36,21,14,0,0,2
488,1084,15,28,10,13,6,1,0,2
489,1843,16,8,10,21,4,0,0,2
490,3848,38,7,20,17,16,1,0,1
491,4103,37,1,24,23,16,0,0,2
492,1989,19,12,10,21,4,0,0,1
493,3044,31,5,32,15,20,1,0,5
494,1835,22,16,10,23,6,0,0,2
495,1314,16,20,6,15,6,0,0,2
496,2122,23,8,2,23,12,0,0,2
497,2741,23,20,6,15,26,0,0,5
498,1540,17,8,6,23,8,1,0,1
499,572,20,8,6,13,4,1,0,1
500,3733,36,1,48,21,22,0,0,5
501,3183,38,3,44,15,26,0,0,4
502,1218,16,24,14,23,10,0,0,2
503,3273,39,5,48,19,24,0,0,5
504,4257,35,5,20,19,18,0,0,4
505,2424,19,28,10,21,22,1,0,5
506,3694,31,3,28,17,14,0,0,1
507,731,15,20,6,12,4,0,1,2
508,3080,34,3,44,21,30,1,0,5
509,707,24,12,14,11,8,0,1,2
510,4257,39,7,52,17,22,0,0,5
511,1454,16,28,6,17,10,0,0,1
512,3730,36,5,32,19,16,0,0,2
513,1822,22,16,10,17,4,0,0,1
514,837,18,20,6,12,10,0,1,1
515,1183,21,28,14,12,8,0,1,1
516,1663,19,12,2,23,10,0,0,1
517,2987,15,28,2,21,16,0,0,2
518,3977,30,3,36,21,16,0,0,2
519,1568,16,16,2,19,10,1,0,2
520,1027,21,20,6,13,4,0,1,1
521,3158,39,3,28,17,16,0,0,2
522,2359,17,24,10,21,16,0,0,2
523,670,18,8,10,13,10,0,1,1
524,3694,36,1,40,23,30,0,0,5
525,2505,17,8,14,21,26,0,0,5
526,1036,17,16,6,12,4,1,0,2
527,3554,39,5,44,21,16,0,0,2
528,3890,31,5,56,21,26,0,0,5
529,865,22,12,10,12,10,0,1,1
530,3504,33,1,60,21,12,1,0,2
531,3609,33,7,20,21,14,0,0,1
532,3383,32,7,56,19,12,0,0,2
533,3300,36,7,32,19,12,1,0,2
534,3408,34,5,28,17,24,1,0,5
535,3716,35,5,28,19,16,1,0,1
536,3572,32,7,28,17,16,1,0,2
537,3902,30,7,40,19,18,0,0,4
538,2402,24,12,14,19,20,0,0,4
539,2793,15,20,10,19,30,0,0,5
540,4306,37,3,60,19,28,0,0,4
541,1617,24,16,10,15,4,0,0,1
542,2010,22,24,6,15,12,0,0,2
543,2842,21,20,6,15,20,0,0,5
544,3680,34,5,32,23,30,1,0,5
545,3255,35,7,32,19,24,0,0,5
546,904,24,20,6,12,10,1,0,2
547,1605,17,8,2,23,10,0,0,2
548,2441,18,8,10,21,14,0,0,1
549,2663,22,20,2,23,22,0,0,4
550,2391,17,28,2,19,26,0,0,4
551,4323,34,5,32,15,22,0,0,4
552,2478,24,20,6,15,28,0,0,4
553,566,17,20,14,12,8,0,1,2
554,1097,17,24,6,13,8,0,1,1
555,3904,32,1,16,17,22,1,0,5
556,1127,15,16,14,12,4,0,1,2
557,3337,30,7,24,19,28,0,0,4
558,2501,20,20,6,19,26,0,0,4
559,1266,22,20,14,21,8,0,0,2
560,1362,23,8,2,17,4,0,0,1
561,4087,38,7,28,19,14,0,0,1
562,1509,19,16,2,19,6,0,0,2
563,984,19,28,14,12,4,1,0,2
564,505,18,16,14,11,4,0,1,1
565,3051,34,1,44,19,24,0,0,5
566,631,22,12,14,11,8,0,1,1
567,2941,22,28,10,17,18,0,0,4
568,3662,30,7,52,17,20,0,0,5
569,1385,15,16,6,21,10,0,0,1
570,856,23,24,14,13,10,1,0,1
571,4001,30,1,36,15,30,0,0,5
572,4290,36,3,16,17,16,0,0,2
573,2737,17,20,10,17,20,0,0,5
574,3369,35,7,28,19,22,0,0,5
575,2164,17,12,10,23,14,1,0,2
576,577,19,16,14,13,4,0,1,2
577,3126,38,1,60,15,12,0,0,2
578,3923,38,3,52,21,24,0,0,4
579,1201,19,28,2,17,4,0,0,2
580,3140,32,5,24,23,22,1,0,4
581,1129,17,28,2,13,4,0,1,2
582,3108,31,1,20,17,28,1,0,4
583,3439,36,1,20,17,28,0,0,5
584,4039,38,3,16,17,14,0,0,2
585,770,16,28,10,11,4,0,1,2
586,2134,23,16,14,15,14,0,0,1
587,1177,16,8,2,11,4,0,1,2
588,2396,23,24,6,17,30,1,0,4
589,3386,33,3,48,21,26,0,0,4
590,3834,31,5,60,21,28,0,0,4
591,586,18,20,2,13,8,0,1,2
592,3422,30,7,40,19,24,0,0,5
593,4242,33,3,32,23,30,0,0,5
594,1487,20,8,6,23,4,0,0,1
595,1180,20,24,6,13,6,1,0,2
596,3145,31,3,36,21,26,0,0,5
597,2184,20,16,10,21,22,1,0,5
598,2276,18,28,10,21,26,1,0,5
599,718,17,20,10,13,4,0,1,1
600,3913,34,7,36,17,16,0,0,2
601,1444,16,12,14,23,4,1,0,2
602,2804,19,28,14,19,24,1,0,4
603,4282,34,3,24,17,30,0,0,4
604,519,16,28,14,11,4,0,1,2
605,2830,15,20,2,17,30,0,0,5
606,3584,36,3,60,21,30,1,0,5
607,2789,16,20,14,17,22,0,0,4
608,618,19,16,6,11,8,0,1,2
609,2575,23,8,6,15,20,0,0,4
610,3449,35,5,40,17,28,0,0,4
611,3022,33,3,52,21,30,0,0,4
612,2604,23,24,14,23,26,1,0,5
613,3628,33,5,48,23,28,1,0,5
614,4216,33,5,36,23,22,1,0,4
615,710,22,20,2,11,10,0,1,2
616,1954,18,16,10,17,6,0,0,1
617,972,23,16,14,11,8,1,0,2
618,4087,34,3,40,19,12,0,0,2
619,1830,15,12,2,21,6,0,0,2
620,3571,36,7,40,17,18,0,0,4
621,959,16,16,6,12,6,0,1,1
622,3231,37,3,44,17,20,0,0,5
623,2147,15,20,2,17,16,0,0,1
624,1403,22,16,6,21,4,0,0,1
625,2502,18,8,6,23,22,0,0,5
626,3870,37,7,52,15,18,0,0,4
627,730,18,16,6,12,6,0,1,1
628,1262,22,28,14,21,4,0,0,1
629,2919,18,28,14,21,22,0,0,4
630,1944,19,8,10,23,6,1,0,2
631,4200,35,7,48,23,28,1,0,4
632,3335,36,1,44,21,24,0,0,4
633,2899,20,28,2,17,22,0,0,4
634,752,19,8,6,12,8,1,0,2
635,2334,23,16,2,21,18,0,0,4
636,1184,22,24,14,12,6,1,0,2
637,1143,17,8,2,13,4,0,1,2
638,1745,15,16,2,19,6,0,0,1
639,3004,31,3,16,21,18,1,0,5
640,3772,38,5,52,15,26,1,0,4
641,2138,16,24,10,23,16,0,0,2
642,830,23,28,6,13,6,0,1,2
643,3261,37,1,20,15,18,0,0,5
644,1639,22,28,6,19,8,0,0,1
645,1773,20,24,14,17,8,0,0,1
646,3938,35,3,36,21,22,0,0,5
647,1315,15,16,10,19,6,0,0,2
648,1673,17,12,10,19,10,0,0,2
649,3685,33,3,56,23,14,0,0,1
650,3205,35,3,20,19,18,0,0,4
651,2130,16,16,2,23,12,0,0,2
652,2406,16,12,2,23,24,0,0,5
653,636,16,24,10,11,8,1,0,1
654,1842,23,12,10,21,6,0,0,1
655,2742,24,24,6,23,14,0,0,2
656,4078,37,3,48,15,30,0,0,4
657,3952,32,7,44,21,18,1,0,4
658,3436,31,5,36,19,18,1,0,4
659,3696,36,5,32,21,24,1,0,4
660,1968,16,24,6,23,6,1,0,1
661,1926,22,28,2,21,8,0,0,1
662,1346,16,24,2,15,10,0,0,1
663,2085,18,8,2,15,28,0,0,4
664,3426,34,7,52,17,30,0,0,5
665,599,21,16,2,12,4,0,1,1
666,1347,22,24,10,23,10,0,0,2
667,934,22,20,2,11,8,0,1,1
668,3096,35,1,56,19,24,1,0,4
